               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098454,            0.035629,            0.028536,           0.0033719,                0.95,            0.014679,            0.002956,            0.049127,            0.025263,            0.019771,              0.0829,              0.0019,              0.0019
                   1,            0.070593,            0.031284,            0.022707,           0.0026469,                 0.8,            0.030557,           0.0094095,            0.050709,            0.022919,            0.020492,            0.064861,           0.0038614,           0.0038614
                   2,            0.065607,            0.029694,            0.023118,            0.013673,                0.75,            0.025679,           0.0054817,            0.049206,            0.018776,            0.018678,            0.046783,           0.0057832,           0.0057832
                   3,            0.057593,            0.025511,            0.020498,            0.021609,                 0.7,            0.027877,            0.006081,            0.041005,            0.020182,            0.019257,            0.028665,           0.0076654,           0.0076654
                   4,            0.063964,            0.022164,            0.022229,            0.015028,                0.85,            0.018688,            0.003145,            0.056534,            0.016432,            0.018935,            0.010508,            0.009508,            0.009508
                   5,            0.059108,            0.019178,            0.020177,            0.012945,                   1,             0.13125,            0.049315,            0.069816,            0.014123,            0.020746,            0.009505,            0.009505,            0.009505
                   6,            0.062369,            0.020683,            0.023222,            0.003262,                0.95,            0.013059,            0.001574,            0.064118,            0.011602,            0.018689,            0.009505,            0.009505,            0.009505
                   7,            0.060604,            0.020091,            0.021257,            0.018354,                   1,            0.059276,            0.014785,            0.056963,            0.010348,            0.017936,            0.009406,            0.009406,            0.009406
                   8,            0.058336,            0.021487,            0.022615,           0.0086276,                   1,             0.35207,             0.10276,            0.042316,            0.012501,             0.01805,            0.009307,            0.009307,            0.009307
                   9,            0.050372,            0.023579,            0.022014,             0.13561,                0.95,             0.31071,            0.094782,            0.069567,           0.0098712,            0.017843,            0.009208,            0.009208,            0.009208
                  10,            0.060589,            0.018167,            0.023021,             0.20763,                   1,             0.36342,             0.10256,            0.043929,            0.011339,            0.018152,            0.009109,            0.009109,            0.009109
                  11,            0.053891,            0.019951,            0.021528,             0.41054,             0.69095,              0.5397,              0.1207,            0.064161,            0.008756,            0.017619,             0.00901,             0.00901,             0.00901
                  12,            0.046127,            0.020736,            0.022121,             0.27193,             0.83277,             0.50816,             0.11764,            0.029962,            0.011133,            0.017535,            0.008911,            0.008911,            0.008911
                  13,            0.044327,            0.018675,            0.021052,             0.40479,             0.83944,             0.51045,             0.18505,             0.04911,           0.0090974,            0.018429,            0.008812,            0.008812,            0.008812
                  14,            0.057683,            0.016956,            0.022556,             0.34211,                   1,             0.54104,              0.1558,            0.045676,           0.0085964,            0.017721,            0.008713,            0.008713,            0.008713
                  15,             0.04476,            0.018973,            0.022129,             0.42231,                   1,             0.53825,             0.20717,            0.036013,           0.0095387,            0.017505,            0.008614,            0.008614,            0.008614
                  16,            0.036616,            0.021006,            0.019887,             0.46711,                   1,             0.60131,             0.28064,            0.042295,           0.0083497,            0.017771,            0.008515,            0.008515,            0.008515
                  17,            0.039896,            0.017251,            0.020498,            0.034002,                0.45,            0.049046,           0.0072844,            0.050245,           0.0083872,            0.017373,            0.008416,            0.008416,            0.008416
                  18,            0.045588,            0.015676,            0.018719,             0.32614,                   1,              0.6341,             0.37839,            0.032533,           0.0089626,            0.017525,            0.008317,            0.008317,            0.008317
                  19,            0.039641,            0.015984,            0.020862,             0.39649,                   1,             0.62582,             0.28195,            0.031338,           0.0083218,            0.017428,            0.008218,            0.008218,            0.008218
                  20,            0.040238,            0.018022,            0.023105,             0.26404,                   1,             0.61025,             0.32728,            0.023133,           0.0087763,            0.017454,            0.008119,            0.008119,            0.008119
                  21,            0.042175,            0.018406,            0.025053,             0.25378,                   1,             0.44418,             0.12047,            0.034296,           0.0074793,            0.017342,             0.00802,             0.00802,             0.00802
                  22,            0.040131,            0.015474,            0.021047,              0.3427,                   1,             0.56628,             0.22446,            0.035865,           0.0071758,            0.017395,            0.007921,            0.007921,            0.007921
                  23,            0.038932,             0.01828,            0.021201,             0.36261,                   1,             0.60461,              0.3179,              0.0264,           0.0080662,            0.017367,            0.007822,            0.007822,            0.007822
                  24,            0.037088,            0.017743,            0.021787,             0.45362,                   1,             0.64883,              0.3013,            0.029897,           0.0074498,            0.017365,            0.007723,            0.007723,            0.007723
                  25,            0.034758,            0.015473,            0.020195,             0.25542,                   1,             0.70176,             0.28204,            0.036696,           0.0066646,            0.017438,            0.007624,            0.007624,            0.007624
                  26,            0.039222,            0.013879,            0.020879,             0.48737,                   1,             0.69357,             0.46492,            0.025612,           0.0064061,            0.017464,            0.007525,            0.007525,            0.007525
                  27,             0.03759,            0.014799,              0.0225,             0.48782,                   1,             0.66757,             0.50981,            0.026285,           0.0056953,            0.017491,            0.007426,            0.007426,            0.007426
                  28,             0.03744,            0.013654,            0.021919,             0.48578,                   1,             0.70842,             0.53986,             0.02262,           0.0056063,            0.017507,            0.007327,            0.007327,            0.007327
                  29,            0.028728,             0.01312,            0.019196,             0.42061,                   1,             0.65646,             0.46322,            0.037429,           0.0053148,            0.017568,            0.007228,            0.007228,            0.007228
                  30,            0.041042,            0.012463,            0.021825,             0.48768,                   1,             0.71387,             0.52254,             0.02156,           0.0051912,            0.017537,            0.007129,            0.007129,            0.007129
                  31,            0.032232,            0.012903,            0.021345,             0.49167,                   1,             0.63306,              0.3892,            0.019765,           0.0051177,            0.017542,             0.00703,             0.00703,             0.00703
                  32,            0.027671,            0.012921,            0.020332,             0.49511,                   1,             0.64894,             0.51131,            0.015568,            0.005003,            0.017554,            0.006931,            0.006931,            0.006931
                  33,            0.025613,            0.011348,            0.018717,             0.49577,                   1,             0.65588,              0.3381,            0.028007,           0.0047592,            0.017525,            0.006832,            0.006832,            0.006832
                  34,            0.041818,            0.012759,             0.02215,             0.43388,                   1,              0.6412,               0.387,            0.023008,           0.0049295,            0.017499,            0.006733,            0.006733,            0.006733
                  35,            0.033663,            0.012112,            0.020935,             0.38297,             0.98903,             0.63389,             0.34994,             0.02589,           0.0050701,            0.017419,            0.006634,            0.006634,            0.006634
                  36,            0.028144,            0.011321,            0.020809,             0.49029,                   1,             0.67999,             0.42718,            0.019117,           0.0046517,            0.017407,            0.006535,            0.006535,            0.006535
                  37,            0.029474,            0.010606,            0.021655,             0.43087,                   1,             0.53145,             0.28425,            0.023791,           0.0041755,            0.017383,            0.006436,            0.006436,            0.006436
                  38,            0.036214,            0.011182,             0.02197,             0.49325,                   1,              0.5593,              0.3812,            0.027039,           0.0042698,            0.017393,            0.006337,            0.006337,            0.006337
                  39,            0.033224,            0.010903,            0.020829,             0.48768,                   1,              0.5414,             0.27814,            0.020669,           0.0042756,            0.017403,            0.006238,            0.006238,            0.006238
                  40,            0.027086,            0.010955,            0.020929,             0.49528,                   1,             0.51059,             0.36691,            0.013667,           0.0039911,            0.017407,            0.006139,            0.006139,            0.006139
                  41,            0.024939,            0.011045,            0.019545,             0.55122,                   1,             0.89169,             0.42087,            0.020913,           0.0052268,            0.017362,             0.00604,             0.00604,             0.00604
                  42,            0.037705,            0.011522,            0.021365,             0.49447,                   1,             0.74625,             0.41105,            0.022401,           0.0050271,             0.01735,            0.005941,            0.005941,            0.005941
                  43,            0.030793,            0.011289,            0.022455,             0.49142,                   1,             0.59359,             0.34214,             0.01865,           0.0040545,            0.017356,            0.005842,            0.005842,            0.005842
                  44,            0.025832,             0.01158,            0.021598,             0.49582,                   1,             0.72403,             0.50414,            0.012829,           0.0041889,            0.017336,            0.005743,            0.005743,            0.005743
                  45,            0.026515,            0.010717,            0.021404,             0.49551,                   1,             0.71721,             0.40983,            0.016232,           0.0044017,            0.017387,            0.005644,            0.005644,            0.005644
                  46,            0.028145,           0.0095499,            0.019494,             0.49683,                   1,             0.76676,             0.55513,            0.020324,           0.0041121,            0.017375,            0.005545,            0.005545,            0.005545
                  47,            0.026582,            0.010238,            0.021125,             0.49591,                   1,             0.57789,             0.31634,            0.018914,           0.0040522,            0.017352,            0.005446,            0.005446,            0.005446
                  48,            0.029009,            0.010862,            0.022261,              0.4966,                   1,             0.69757,             0.55609,            0.013683,           0.0038727,            0.017336,            0.005347,            0.005347,            0.005347
                  49,            0.026181,           0.0092979,             0.02205,             0.49415,                   1,             0.74625,             0.46932,            0.016343,           0.0040851,            0.017377,            0.005248,            0.005248,            0.005248
                  50,            0.024063,           0.0089244,            0.019251,             0.49588,                   1,             0.73981,             0.49552,            0.020436,           0.0039422,            0.017403,            0.005149,            0.005149,            0.005149
                  51,            0.022095,           0.0084272,             0.01885,             0.49655,                   1,             0.63739,              0.4885,            0.012164,            0.003977,            0.017367,             0.00505,             0.00505,             0.00505
                  52,            0.020007,              0.0101,            0.020349,             0.49692,                   1,              0.6745,             0.61412,            0.011599,           0.0039417,            0.017326,            0.004951,            0.004951,            0.004951
                  53,            0.024412,            0.010643,            0.021043,             0.49576,                   1,             0.74173,             0.51464,            0.014454,           0.0040092,            0.017289,            0.004852,            0.004852,            0.004852
                  54,            0.027142,           0.0089484,            0.020996,             0.49761,                   1,                0.72,             0.54433,            0.017626,           0.0038117,            0.017249,            0.004753,            0.004753,            0.004753
                  55,            0.024434,           0.0093479,            0.021527,             0.49739,                   1,             0.73944,             0.48466,            0.014538,           0.0040116,            0.017253,            0.004654,            0.004654,            0.004654
                  56,            0.020633,            0.010319,            0.020729,             0.49814,                   1,             0.69686,             0.56048,            0.011357,           0.0038381,            0.017244,            0.004555,            0.004555,            0.004555
                  57,            0.020445,           0.0091079,            0.020356,             0.49834,                   1,             0.78605,              0.5491,            0.018051,           0.0038506,             0.01724,            0.004456,            0.004456,            0.004456
                  58,            0.023403,           0.0076773,            0.020152,             0.49867,                   1,             0.80312,             0.64606,            0.013705,           0.0036642,            0.017206,            0.004357,            0.004357,            0.004357
